#TRAINERS
30761   476   'bash' 'kick' 'parry' 'punch' 'rescue' 'second attack'
30756   573  
36113   129   'animate dead'
37061   710   'humanic' 'elvish' 'gnomish' 'thennish' 'vyanian' 'detect hidden' 'detect magic' 'lesser summoning' 'acid arrow'
37063   709   'bash' 'kick' 'punch' 'resist bash' 'unarmed' 'polearm'
37021   706   'bandage' 'cure blindness' 'cure disease' 'cure light' 'cure poison' 'cure serious' 'detect evil' 'blessed aura' 'concoct'
19056    57   'climb' 'hide' 'searching' 'swimming' 'track'
  241   678   'riding'
36074   672   'disarm' 'kick' 'parry' 'unarmed' 'dagger' 'sword' 'polearm'
  504   278   'animate dead' 'blind' 'cause serious'
 2551   417   'blink' 'detect invisible' 'displace' 'eagle eye' 'sleep'
19024   415   'bandage' 'elvish' 'entish' 'armor' 'bless' 'create food' 'create water' 'cure light' 'cure poison' 'cure serious'
  164  1522   'lay hands' 'mounted fighting' 'rejuvenation' 'shield' 'shield bash' 'lesser mount'
  155   324   'dodge' 'kick' 'punch' 'tiger paw' 'unarmed'
27047   275   'haggle'
27044   238   'create light' 'detect magic' 'magic missile' 'shock' 'slow'
27038   239   'armor' 'bless' 'create food' 'create light' 'create water' 'cure light' 'cure poison' 'remove curse'
  932   195   'backstab' 'climb' 'hide' 'inspect' 'peek' 'pick lock' 'searching' 'shin kick' 'sneak'
  927   179   'bandage' 'humanic' 'armor' 'bless' 'cause light' 'create food' 'create light' 'create water' 'cure light' 'cure poison' 'curse'
  928   178   'bash' 'disarm' 'dodge' 'kick' 'parry' 'punch' 'rescue' 'resist bash' 'second attack' 'swimming' 'unarmed'
  136   120   'blinding light' 'detect hidden' 'fireball' 'mystic shield' 'shock' 'song of the whirling blades' 'shield of flame'
  918  1003   'dagger' 'sword' 'club' 'staff' 'mace' 'whip' 'spear'
12500   128   'critical hit' 'disarm' 'meditate' 'second attack' 'tiger paw' 'unarmed'
  140  1520   'humanic' 'elvish' 'cure light' 'cure serious' 'holy wrath' 'remove curse' 'revitalize' 'turn undead'
27045   234   'climb' 'dodge' 'endurance' 'kick' 'parry' 'punch' 'study opponent' 'swimming' 'unarmed'
27039   239   'humanic' 'gnomish' 'dwarvish'
24048   286   'meditate' 'tiger paw' 'calm' 'slow' 'vitality' 'float'
13538   193   'blind fighting' 'slisp'
27562   252   'curse' 'fire shield' 'freeze' 'summon' 'gem burst' 'greater summon' 'hoar shield'
19001   331   'bash' 'kick' 'punch' 'unarmed' 'dagger' 'sword' 'staff'
30351   404   'backstab' 'dodge' 'hide' 'pick lock' 'sneak' 'dagger'
  909  1013   'haggle'
30777   489   'bandage' 'cause light' 'create light' 'cure blindness' 'cure light' 'cure poison' 'cure serious' 'detect evil' 'detect good'
30820   568   'hide' 'searching' 'sneak' 'swimming' 'track' 'tame'
30757   571  
30754   456   'unarmed' 'staff' 'spear'
30822   579   'humanic' 'slisp'
19043   606   'climb' 'parry' 'rescue' 'second attack' 'shield'
19027   334   'appraise' 'peek'
30021   298   'hide' 'inspect' 'peek' 'pick lock' 'sneak'
37060   708   'appraise'
36148   909   'rescue'
39379   916   'burning hands' 'cause light' 'chilling touch' 'cure poison' 'magic missile' 'ogre strength' 'shock' 'web' 'briartangle'
30343   425   'ogrish' 'trollish' 'orcish' 'goblish' 'armor' 'bless' 'calm' 'cause light' 'create food' 'create water' 'cure light' 'cure serious'
30355   422   'create light' 'detect hidden' 'detect magic' 'faerie fire' 'fireball' 'magic missile' 'mystic shield' 'shock' 'vitality'
36115    95   'burning hands' 'faerie fire' 'fireball'
19383   779   'camouflage' 'swimming' 'elvish' 'entish' 'infravision' 'protection plants' 'conjure elemental' 'poultice' 'autumn touch' 'natures boon' 'caress of nature' 'bramble skin' 'companion health' 'staff'
  401   355   'camp site' 'dowse' 'find tinder' 'forage' 'path finding' 'skinning' 'spot hidden' 'draw poison' 'track' 'elvish' 'entish' 'tame' 'balm' 'shield of erosion' 'shield of corrosion' 'bow' 'crossbow'
30339   347   'disarm' 'parry' 'punch' 'second attack' 'dagger' 'sword' 'club' 'polearm' 'axe'
46800  1034   'dwarvish'
20075  1081   'meditate' 'tiger paw' 'unarmed'
20079  1110   'backstab' 'climb' 'hide' 'inspect' 'peek' 'pick lock' 'searching' 'shin kick' 'sneak'
20034  1111   'ogrish' 'trollish' 'orcish' 'goblish' 'vyanian'
20074  1112   'bandage' 'armor' 'bless' 'cause light' 'cure blindness' 'cure light' 'cure poison' 'curse' 'detect good' 'holy wrath'
20010   867   'dagger' 'sword' 'club' 'staff' 'mace' 'whip' 'spear'
20084  1114   'riding'
20015  1134   'bash' 'dodge' 'kick' 'parry' 'punch' 'rescue' 'resist bash'
20066  1136   'blinding light' 'burning hands' 'chilling touch' 'create light' 'detect magic' 'faerie fire' 'magic missile' 'ogre strength' 'shock' 'acid arrow' 'concoct'
20067   869   'create food' 'create light' 'create water'
27552    97   'find familiar' 'fireball' 'haste' 'maelstrom' 'request ally'
44906  1262   'chain lightning' 'ice storm' 'invisibility' 'astral gate' 'prismic missile' 'vigor' 'shield of lightning'
