#M2_POLLS

1
8

1
Zirnath.Mayor~
2
1088332747 86400

2
1 0 Irmo~
1 1 Nog~

33
1 0 1216
1 1 390
1 1 1236
1 0 694
1 1 629
1 1 1241
1 1 1282
1 0 950
1 1 562
1 1 1093
1 1 1266
1 0 320
1 1 888
1 0 878
1 1 876
1 0 267
1 0 1251
1 0 763
1 0 1270
1 0 514
1 0 1254
1 0 1170
1 0 131
1 0 971
1 1 1230
1 1 1239
1 0 447
1 1 43
1 0 1245
1 1 668
1 0 571
1 0 126
1 0 523

1
Combat.Speed~
5
1090992237 604800

5
1 0 Option.A~
1 1 Option.B~
1 2 Option.C~
1 3 Option.D~
1 4 Option.E~

10
1 3 16
1 1 557
1 1 1241
1 3 1270
1 2 876
1 3 1212
1 3 1132
1 3 1236
1 2 694
1 2 923

1
Death~
7
1092000693 604800

6
1 1 1.Bring-It-On~
1 2 2.Death-Sucks~
1 3 3.Tone-It-Down~
1 4 4.Ghostly-Visitations~
1 5 5.Naked-Troll-Run~
1 6 6.Clerical-Rites-Of-XP~

15
1 4 16
1 6 707
1 6 1240
1 1 367
1 6 1236
1 6 562
1 6 1325
1 3 1254
1 6 514
1 3 694
1 6 1270
1 1 557
1 6 321
1 3 320
1 6 1299

1
Area.Focus~
4
1093700417 604800

4
1 0 1.Expand.New.Continent~
1 1 2.Revamp.Old.Continent~
1 2 3.Add.Random.Dungeons~
1 3 4.Leave.Old.Cont.Alone~

16
1 2 1138
1 3 694
1 3 1218
1 0 1425
1 3 668
1 3 1254
1 0 1452
1 3 320
1 2 131
1 2 514
1 0 1236
1 0 950
1 2 367
1 1 1300
1 3 1265
1 0 1241

1
Shield.Spells~
6
1103352276 1209600

3
1 1 Allow.Similar.but.No.Opposites~
1 2 No.similar.or.Opposites.~
1 5 Allow.Only.One.Shield.at.Time~

7
1 1 1428
1 5 733
1 1 1495
1 1 1236
1 1 1299
1 1 167
1 1 1383

1
Zirnath.Options~
4
1114463063 604800

4
1 0 Sky Ship~
1 1 More Basic Shops~
1 2 More Services Shops~
1 3 Who Cares?~

21
1 2 1236
1 0 1505
1 2 558
1 1 1637
1 0 1679
1 1 1282
1 2 1270
1 2 1330
1 0 1187
1 0 1670
1 2 1216
1 1 809
1 1 733
1 1 668
1 0 306
1 0 35
1 0 1386
1 2 38
1 2 1254
1 2 1676
1 1 1557

1
Mob.Casted.Sleep.Spells~
2
1116806328 604800

2
1 0 Stops.Combat (no change)~
1 1 Combat.Continues~

13
1 1 1267
1 1 1132
1 1 1236
1 1 558
1 1 367
1 0 1664
1 1 1679
1 1 809
1 0 1678
1 0 1637
1 1 35
1 0 1254
1 0 1428

1
AbilityImproves~
5
1120391507 172800

3
1 0 LeaveAsIs~
1 1 Revert-To-Pre-Cayln-Pissiness~
1 4 restore-from-backup (3 days)~

17
1 1 809
1 1 320
1 1 648
1 1 1529
1 0 1679
1 1 694
1 1 920
1 1 1676
1 0 558
1 1 668
1 1 1132
1 0 1637
1 1 1254
1 1 1711
1 1 1236
1 0 1664
1 1 595

